d'Arenberg The Dead Arm Shiraz;2017, Australia;€54.95;4.2
Guigal Cotes Du Rhone Rouge;2017, France, Rhône;€16.95;3.7
Domaine Olivier Santenay Temps des C(e)rises;2018, France, Burgundy;€32.95;3.9
Torres Celeste Crianza;2018, Spain, Ribera Del Duero DO;€21.95;3.9
Les Hauts de Lynch-Moussas 2016;2016, France, Bordeaux;€32.95;3.8
Château Kirwan 2017;2017, France, Bordeaux;€73.00;3.7
Château Clarke B. de Rothschild;2012, France, Bordeaux;€36.95;3.4
Vincent Juliénas La Conseillère;2017, France, Beaujolais;€21.95;3.8
Rust en Vrede Cabernet Sauvignon;2019, South Africa, Stellenbosch ;€31.95;4.2
Emilio Moro;2018, Spain, Ribera Del Duero DO;€25.95;4.0
Chanson Beaujolais Villages;2020, France, Burgundy;€14.95;3.5
Tolo do Xisto;2017, Spain, Galicia;€19.95;3.7
Lionel Osmin Malbec;2019, France, Cahors;€13.95;3.5
Cave de Tain Crozes-Hermitage;2020, France, Rhône;€20.95;3.5
Orin Swift Abstract;2019, USA;€42.95;4.2
Gérard Bertrand Domaine de Villemajou;2019, France, Languedoc-Roussillon;€20.95;—
Marqués de Cáceres Crianza;Spain, Rioja;€15.45;3.6
Torres Natureo Red Non-Alcoholic;Spain;€6.95;—
Longview Devil's Elbow Cabernet Sauvignon;2019/20, Australia;€21.45;3.9
Penfolds St Henri Shiraz 2018;2018, Australia, SOUTH-AUS;€110.00;4.4
DV Catena Tinto Histórico;2019, Argentina, Mendoza;€19.95;4.2
St Hallett Butcher's Cart Shiraz;2018, Australia;€26.95;3.9
Château de Caraguilhes Les Jardins;2019, France, Languedoc-Roussillon;€17.95;3.6
Talbott Sleepy Hollow Pinot Noir;2016, USA;€42.95;4.0
Langlois Saumur-Champigny;2017, France, Loire Valley;€16.95;—
Campo Viejo Rioja Reserva;2016, Spain, Rioja;€16.95;3.7
Chapoutier Gigondas;2020, France, Rhône;€28.95;3.9
Belleruche Rouge Cotes du Rhone;2020, France, Rhône;€16.95;3.3
Louis Jadot Poncereau Fleurie;2020, France, Beaujolais;€23.95;3.8
Lingenfelder Fox Label Dornfelder;2017, Germany, Pfalz;€15.95;—
Château Haut Pingat;2019, France, Bordeaux;€14.95;3.4
Beringer Classic Zinfandel;2019, USA;€15.45;3.7
Château Puy Marceau;2018, France, Bordeaux;€19.95;3.6
Freemark Abbey Napa Valley Cabernet Sauvignon;2017, USA;€60.00;—
Emiliana Étnico;2019, Chile, Rapel;€13.95;—
Porta 6 Magnum;2020, Portugal, Lisboa;€22.00;3.8
Esporão Reserva;2018, Portugal, Alentejo;€29.95;4.1
Campo Viejo Gran Reserva;2014, Spain, Rioja;€17.95;3.9
Stonier Pinot Noir;2016/17/19, Australia;€27.95;3.8
Porta 6 Reserva;2018, Portugal, Lisboa;€15.95;4.0
Leyda Pinot Noir Reserva;2020, Chile, San Antonio;€14.95;3.3
Borie de Maurel Espirit d'Automne;2020, France;€17.95;3.7
Rizzardi Calcarole Amarone;2015, Italy, Valpolicella;€75.00;4.6
Château Cordeillan-Bages 2013;2013, France, Bordeaux;€75.00;4.1
Cortese Nostru Nero d'Avola NAS;2020, Italy, Sicily;€16.95;3.5
Le Petit Coudoulis;2020, France, Rhône;€16.95;3.6
Whitehaven Pinot Noir;2019, New Zealand, Marlborough;€19.95;3.8
Château Saint-Poly;2016, France, Bordeaux;€32.00;3.7
Château Guibeau;2016, France, Bordeaux;€16.95;3.6
Ascheri Langhe Barbera Fontanelle;2019, Italy, Alba;€20.95;3.6
Norton Privada Blend;2018, Argentina, Mendoza;€21.95;3.9
Los Vascos Cromas Gran Reserva;2018, Chile, Colchagua Valley;€19.95;3.8
Eddystone Point Pinot Noir;2018, Australia;€24.95;3.8
Leyda Single Vineyard Cahuil Pinot Noir;2020, Chile, Leyda Valley;€15.95;3.6
Los Vascos Cabernet Sauvignon;2019, Chile, Colchagua Valley;€12.95;3.4
Kanonkop Pinotage;2019, South Africa, Stellenbosch ;€33.95;3.3
La Crema Sonoma Coast Pinot Noir;2018/19, USA;€34.95;4.0
Big Sky Te Muna Pinot Noir;2017, New Zealand, Martinborough;€29.95;3.9
First Creek Shiraz;2019, Australia;€16.95;—
Leyda Carménère Reserva;2020, Chile, Central Valley;€15.95;3.3
Mt Difficulty Roaring Meg Pinot Noir;2019, New Zealand, Central Otago;€25.95;3.9
Dalmau;2016, Spain, Rioja;€85.00;4.4
Sierra Cantabria Rioja Crianza;2017, Spain, Rioja;€15.95;3.7
Cave de Tain Hermitage;2016/17, France, Rhône;€55.00;3.5
Tenute Rubino Punta Aquila Primitivo;2017, Italy, Puglia;€18.95;3.9
Gérard Bertrand Heritage Pic St Loup;2019, France, Languedoc-Roussillon;€16.95;4.0
Rizzardi Bardolino Classico Cuvée XV;2020, Italy, Bardolino;€14.95;3.5
Domaine de L'Ostal Estibals;2019, France, Languedoc-Roussillon;€16.95;4.3
San Felice Il Grigio Riserva;2018, Italy, Chianti Classico;€23.95;3.9
Castillo Ygay Gran Reserva Especial 2010;2010, Spain, Rioja;€165.00;4.5
Lunaria Ruminat Primitivo;2020, Italy, Puglia;€18.95;3.9
Monte Real Rioja Crianza;2017/18, Spain, Rioja;€16.95;3.6
Cusumano Alta Mora Etna Rosso;2017/18, Italy, Sicily;€23.95;3.7
Gérard Bertrand Maury;2010, France, Languedoc-Roussillon;€22.95;3.5
Rizzardi Villa Amarone;2013/15, Italy, Valpolicella;€44.95;4.3
Marquês de Borba Colheita;2019, Portugal, Alentejo;€17.95;3.8
Zull Lust & Laune Red;2018, Austria, Weinviertel;€15.95;3.7
Clos de los Siete;2018, Argentina, Mendoza;€19.95;3.9
d'Arenberg Footbolt Shiraz;2018, Australia;€19.95;3.7
Sierra Cantabria Rioja Reserva;2014, Spain, Rioja;€25.95;3.8
Luzón Verde Organic;2019/20, Spain, Jumilla;€12.95;3.3
Nero Oro Appassimento;2020, Italy, Sicily;€15.95;3.9
Casa de Uco El Salvaje Malbec;2017, Argentina, Mendoza;€19.95;3.6
Château les Croisille Silice;2019, France, Cahors;€19.95;3.8
Cap Royal;2018, France, Bordeaux;€17.95;3.6
Conde Valdemar Reserva;2012, Spain, Rioja;€24.95;3.8
Domaine de L'Ostal Grand Vin;2017, France, Languedoc-Roussillon;€23.95;4.1
Gaia Agiorgitiko;2019, Greece, Nemea;€18.95;3.5
San Felice Chianti Classico;2019, Italy, Toscana;€18.45;3.6
Seguin-Manuel Nuits-Saint-Georges;2018, France, Burgundy;€55.00;4.2
Château Grand Barail;2018, France, Bordeaux;€21.95;3.8
Rhonéa Rasteau Tradition;2018, France, Rhône;€19.95;3.8
Arjolle Zero Alcohol Merlot Grenache;2020, France, Occitaine;€7.95;2.9
Seguin-Manuel Savigny Godeaux Nature;2017, France, Burgundy;€37.00;3.9
Bethany First Village Shiraz;2019, Australia;€21.95;4.0
Torbreck The Struie;2018/2019, Australia;€49.00;4.2
Le Dix de Los Vascos;2017, Chile, Colchagua Valley;€50.00;4.2
Sacred Hill Reserve Syrah;2018, New Zealand, Hawke's Bay;€19.95;3.3
Petaluma Coonawarra Cabernet;2015, Australia;€45.95;—
Casa de Uco El Salvaje Organic Malbec;2019, Argentina, Mendoza;€19.95;3.6
Raymond Field Blend;2019, USA;€19.95;3.7
Viña Chocalán Origen Gran Reserva Cabernet Franc;2019, Chile, Maipo Valley;€17.95;3.8
Il Passo Nerello Mascalese;2020, Italy, Sicily;€18.95;3.9
Symington Altano Organic;2019, Portugal, Douro Valley;€17.45;3.8
Tons de Duorum;2019, Portugal, Douro Valley;€15.45;—
Chanson Givry;2019, France, Burgundy;€26.95;3.8
Penfolds St Henri Shiraz 2016;Australia, SOUTH-AUS;€110.00;4.4
Coca i Fitó Jaspi Negre;2017, Spain, Catalonia;€16.95;3.7
Château Meaume;2018, France, Bordeaux;€16.50;3.5
Banshee Cabernet Sauvignon;2019, USA;€32.95;4.1
Sherwood Estate Pinot Noir;2020, New Zealand, Waipara Valley;€21.95;3.5
Domaine Coudoulis Dédicace;2018, France, Rhône;€19.95;4.0
Catena Malbec;2019, Argentina, Mendoza;€19.95;4.3
Sierra Cantabria Coleccíon Privada;2018, Spain, Rioja;€41.95;4.0
Les Meysonniers Crozes Hermitage;2019, France, Rhône;€21.95;3.8
Raymond Family Classic Cabernet Sauvignon;2018, USA;€29.95;3.8
Viña Chocalán Reserva Cabernet Sauvignon;2019, Chile, Maipo Valley;€13.95;3.6
Château Clos du Roy;2018, France, Bordeaux;€29.95;3.7
Kendall-Jackson Grand Reserve;2018/19, USA;€36.95;3.8
Musella Valpolicella Superiore;2018, Italy, Veneto;€19.95;3.6
San Felice Contrada Toscana;2019, Italy, Toscana;€15.95;3.2
